,culture,line,rate,yield
165,C281,HA,0.00604,0.02475
166,C282,HA,0.00549,0.02625
167,C283,HA,0.00584,0.02574
168,C284,HA,0.00593,0.02557
169,C285,HA,0.00594,0.02475
170,C286,HA,0.00759,0.02461
171,C287,HA,0.00646,0.02613
172,C288,HA,0.00976,0.0254
173,C289,HA,0.00714,0.02535
174,C290,HA,0.00665,0.02503
175,C40,HA,0.025474822,0.489053573
176,C41,HA,0.026915663,0.491860923
177,C42,HA,0.026443016,0.493821173
178,C176,HA,0.088122944,0.336614426
179,C177,HA,0.092418143,0.360904885
180,C178,HA,0.087026227,0.332054577
181,C43,HA,0.024296436,0.419534551
182,C44,HA,0.023329215,0.400750138
183,C45,HA,0.022050053,0.399307078
184,C291,HA,0.00987,0.05334
185,C292,HA,0.0117,0.0517
186,C43,HA,0.024296436,0.419534551
187,C44,HA,0.023329215,0.400750138
188,C45,HA,0.022050053,0.399307078
189,C184,HA,0.074034072,0.245804517
190,C185,HA,0.088606058,0.24481638
191,C46,HA,0.029780154,0.503933344
192,C47,HA,0.033175253,0.531167902
193,C48,HA,0.033279642,0.525120099
194,C49,HA,0.034181693,0.533310813
195,C293,HA,0.00377,0.01582
196,C294,HA,0.00388,0.01628
197,C295,HA,0.00377,0.0161
198,C46,HA,0.029780154,0.503933344
199,C47,HA,0.033175253,0.531167902
200,C48,HA,0.033279642,0.525120099
201,C49,HA,0.034181693,0.533310813
202,C191,HA,0.082694685,0.357545264
203,C192,HA,0.083274395,0.372963117
204,C50,HR,0.022906064,0.458586596
205,C51,HR,0.022850695,0.458913967
206,C52,HR,0.023192558,0.482306138
207,C50,HR,0.022906064,0.458586596
208,C51,HR,0.022850695,0.458913967
209,C52,HR,0.023192558,0.482306138
210,C198,HR,0.103446371,0.480399122
211,C199,HR,0.103615771,0.444312792
212,C53,HR,0.027502498,0.51968169
213,C54,HR,0.027070245,0.519856503
214,C55,HR,0.027693039,0.487708561
215,C56,HR,0.028805912,0.486002838
216,C296,HR,0.00641,0.02106
217,C53,HR,0.027502498,0.51968169
218,C54,HR,0.027070245,0.519856503
219,C55,HR,0.027693039,0.487708561
220,C56,HR,0.028805912,0.486002838
221,C202,HR,0.0962212,0.431522641
222,C203,HR,0.098442296,0.443023733
223,C57,HR,0.026812776,0.570727994
224,C58,HR,0.027949217,0.560487561
225,C59,HR,0.029936452,0.59582067
226,C60,HR,0.028491551,0.566043667
227,C297,HR,0.00507,0.02448
228,C298,HR,0.00564,0.02617
229,C299,HR,0.00486,0.02296
230,C300,HR,0.00492,0.02559
231,C301,HR,0.006,0.02871
232,C302,HR,0.00489,0.02411
233,C303,HR,0.00574,0.02194
234,C304,HR,0.00445,0.01967
235,C305,HR,0.00757,0.0216
236,C306,HR,0.00563,0.02653
237,C57,HR,0.026812776,0.570727994
238,C58,HR,0.027949217,0.560487561
239,C59,HR,0.029936452,0.59582067
240,C60,HR,0.028491551,0.566043667
241,C209,HR,0.045724244,0.261829371
242,C210,HR,0.048395202,0.25603137
243,C211,HR,0.049606239,0.251594452
